Index,Latitude,Longitude,Elevation,Mean,Std
1,37.87375253,-122.265767,65.503,17.679166666666667,2.0686608322508766
2,37.87316547,-122.2647705,50.362,17.6875,2.053769400395283
3,37.87214562,-122.2644505,49.541,19.79583333333333,3.055899917463848
4,37.87139187,-122.2640259,49.893,15.116666666666667,2.190161079819372
5,37.87146316,-122.2653754,35.988,16.520833333333332,1.764990360376572
6,37.86962914,-122.2617989,53.628,17.45,2.338446777956114
7,37.87035441,-122.2630804,44.736,15.620833333333334,1.9270506753989511
8,37.86930641,-122.2603685,48.363,25.316666666666663,2.5980227524450634
9,37.86889259,-122.2592857,59.743,18.4375,2.397752854236649
10,37.87029171,-122.2593898,51.958,20.3625,2.4347420294560984
11,37.87071187,-122.2597866,53.846,16.095833333333335,1.428935841417973
12,37.87173083,-122.2610335,46.078,16.345833333333335,2.040267377630251
13,37.87197626,-122.2622746,51.538,20.816666666666663,2.063000780955311
14,37.87344474,-122.2627054,52.808,18.554166666666667,2.62444107806257
15,37.87419595,-122.262082,64.022,16.970833333333335,2.2333138991691746
16,37.8733144,-122.2613411,51.736,17.470833333333335,2.4537775582875385
17,37.87451639,-122.2602248,74.107,20.016666666666666,2.272052425060263
18,37.87458929,-122.2587443,77.233,18.625,2.2599317836312376
19,37.8748235,-122.2579286,73.715,20.67083333333333,1.8822037541728107
20,37.87394273,-122.2568989,83.248,16.666666666666668,2.154775059154796
21,37.87300748,-122.2594219,61.994,19.75,2.063068103577776
22,37.87250517,-122.257997,68.044,22.39583333333333,2.0424105787579103
23,37.87247558,-122.2570785,78.298,31.325,3.422444301957301
24,37.87290631,-122.2559972,74.087,22.2625,1.9876834296906207
25,37.87229328,-122.254525,73.906,19.554166666666667,2.300403799094604
26,37.87186016,-122.2541325,88.364,18.879166666666663,2.20486756342013
27,37.8717538,-122.2554057,76.343,17.1375,1.7274891461308808
28,37.8714485,-122.2563271,73.49,19.33333333333333,2.306542626722708
29,37.87125484,-122.2579254,56.578,22.70833333333333,2.7802003325100317
30,37.8699522,-122.2572739,65.415,17.020833333333332,2.129305279245375
31,37.86940901,-122.2575833,59.04,15.979166666666666,1.629987005742343
32,37.86948188,-122.2546662,75.661,16.958333333333332,2.199510677905934
33,37.87039998,-122.2540155,78.188,13.645833333333334,1.8815395218337088
